name,team,position,espn_id
A.T. Perry,PIT,WR,4362019
Adonai Mitchell,NYJ,WR,4597500
Ainias Smith,CAR,WR,4428532
Alec Pierce,IND,WR,4360078
Alex Bachman,LVR,WR,3919510
Alexander Hollins,CLE,WR,4249496
Amon-Ra St. Brown,DET,WR,4374302
Andre Baccellia,ARI,WR,3886809
Andrei Iosivas,CIN,WR,4368003
Andrew Armstrong,KCC,WR,5093923
Andrew Turzilli,DET,WR,2513916
Andy Tanner,NOS,WR,13872
Anthony Gould,IND,WR,4429684
Arian Smith,NYJ,WR,4429105
Ashton Dulin,IND,WR,4061956
Austin Trammell,JAC,WR,4244856
Beaux Collins,NYG,WR,4431210
Ben Edwards,NYG,WR,2507340
Ben Skowronek,PIT,WR,4035656
Brandin Cooks,BUF,WR,16731
Brandon Aiyuk,SFO,WR,4360438
Brandon Collins,NYG,WR,15588
Brandon Gibson,NEP,WR,12567
Brandon Johnson,DEN,WR,4035198
Brandon Smith,PIT,WR,4240577
Braxton Berrios,HOU,WR,3123075
Brenden Rice,LVR,WR,4686781
Brennan Presley,LAR,WR,4431342
Brett Swain,SFO,WR,11451
Brian Thomas Jr.,JAC,WR,4432773
Britain Covey,PHI,WR,3926231
Bryce Ford-Wheaton,NYG,WR,4362227
Bryce Oliver,TEN,WR,4362617
Brycen Tremayne,CAR,WR,4360763
Bub Means,NOS,WR,4427985
Buster Davis,BUF,WR,10474
Calvin Austin III,PIT,WR,4243389
Calvin Ridley,TEN,WR,3925357
Carlton Mitchell,DAL,WR,13222
Casey Washington,ATL,WR,4428796
Cedric Tillman,CLE,WR,4369863
Cedrick Wilson,MIA,WR,4036335
CeeDee Lamb,DAL,WR,4241389
Chandler Jones,TBB,WR,17188
Charles Johnson,PHI,WR,15885
Charlie Jones,CIN,WR,4257188
Chastin West,DET,WR,13775
Chimere Dike,TEN,WR,4431268
Chris Blair,ATL,WR,4369886
Chris Davis,FA*,WR,10571
Chris Godwin,TBB,WR,3116165
Chris Hubert,ARI,WR,2986501
Chris Moore,WAS,WR,2576581
